winner,city,count
Chennai Super Kings,Bangalore,4
Chennai Super Kings,Chandigarh,3
Chennai Super Kings,Chennai,33
Chennai Super Kings,Delhi,5
Chennai Super Kings,Dharamsala,1
Chennai Super Kings,Hyderabad,2
Chennai Super Kings,Jaipur,2
Chennai Super Kings,Kolkata,4
Chennai Super Kings,Mumbai,8
Chennai Super Kings,Pune,1
Chennai Super Kings,Ranchi,3
Chennai Super Kings,Visakhapatnam,1
Sunrisers Hyderabad,Bangalore,1
Sunrisers Hyderabad,Chennai,2
Sunrisers Hyderabad,Cuttack,3
Sunrisers Hyderabad,Delhi,2
Sunrisers Hyderabad,Dharamsala,2
Sunrisers Hyderabad,Hyderabad,3
Sunrisers Hyderabad,Kochi,1
Sunrisers Hyderabad,Mumbai,3
Sunrisers Hyderabad,Nagpur,2
Sunrisers Hyderabad,Pune,1
Delhi Daredevils,Ahmedabad,1
Delhi Daredevils,Bangalore,3
Delhi Daredevils,Chandigarh,1
Delhi Daredevils,Chennai,2
Delhi Daredevils,Delhi,23
Delhi Daredevils,Dharamsala,1
Delhi Daredevils,Hyderabad,4
Delhi Daredevils,Jaipur,1
Delhi Daredevils,Kanpur,1
Delhi Daredevils,Kochi,1
Delhi Daredevils,Kolkata,1
Delhi Daredevils,Mumbai,2
Delhi Daredevils,Pune,3
Delhi Daredevils,Raipur,4
Delhi Daredevils,Rajkot,1
Delhi Daredevils,Visakhapatnam,1
Kings XI Punjab,Ahmedabad,1
Kings XI Punjab,Bangalore,5
Kings XI Punjab,Chandigarh,22
Kings XI Punjab,Chennai,2
Kings XI Punjab,Cuttack,1
Kings XI Punjab,Delhi,4
Kings XI Punjab,Dharamsala,5
Kings XI Punjab,Hyderabad,4
Kings XI Punjab,Indore,3
Kings XI Punjab,Kolkata,2
Kings XI Punjab,Mumbai,5
Kings XI Punjab,Pune,1
Kings XI Punjab,Rajkot,2
Kings XI Punjab,Visakhapatnam,1
Kolkata Knight Riders,Bangalore,6
Kolkata Knight Riders,Chandigarh,3
Kolkata Knight Riders,Chennai,2
Kolkata Knight Riders,Cuttack,3
Kolkata Knight Riders,Delhi,5
Kolkata Knight Riders,Hyderabad,4
Kolkata Knight Riders,Jaipur,1
Kolkata Knight Riders,Kolkata,37
Kolkata Knight Riders,Mumbai,3
Kolkata Knight Riders,Pune,6
Kolkata Knight Riders,Rajkot,1
Kolkata Knight Riders,Ranchi,1
Mumbai Indians,Ahmedabad,1
Mumbai Indians,Bangalore,8
Mumbai Indians,Chandigarh,4
Mumbai Indians,Chennai,3
Mumbai Indians,Delhi,3
Mumbai Indians,Hyderabad,5
Mumbai Indians,Indore,1
Mumbai Indians,Jaipur,2
Mumbai Indians,Kolkata,9
Mumbai Indians,Mumbai,45
Mumbai Indians,Pune,3
Mumbai Indians,Rajkot,1
Mumbai Indians,Visakhapatnam,2
Rajasthan Royals,Ahmedabad,7
Rajasthan Royals,Bangalore,3
Rajasthan Royals,Chandigarh,3
Rajasthan Royals,Chennai,1
Rajasthan Royals,Delhi,4
Rajasthan Royals,Hyderabad,2
Rajasthan Royals,Jaipur,24
Rajasthan Royals,Kolkata,1
Rajasthan Royals,Mumbai,5
Rajasthan Royals,Nagpur,1
Rajasthan Royals,Pune,2
Rajasthan Royals,Visakhapatnam,1
Royal Challengers Bangalore,Ahmedabad,1
Royal Challengers Bangalore,Bangalore,30
Royal Challengers Bangalore,Chandigarh,3
Royal Challengers Bangalore,Chennai,2
Royal Challengers Bangalore,Delhi,5
Royal Challengers Bangalore,Hyderabad,2
Royal Challengers Bangalore,Jaipur,3
Royal Challengers Bangalore,Kochi,1
Royal Challengers Bangalore,Kolkata,3
Royal Challengers Bangalore,Mumbai,5
Royal Challengers Bangalore,Pune,4
Royal Challengers Bangalore,Raipur,1
Royal Challengers Bangalore,Rajkot,1
Royal Challengers Bangalore,Ranchi,1
Sunrisers Hyderabad,Ahmedabad,1
Sunrisers Hyderabad,Bangalore,2
Sunrisers Hyderabad,Chandigarh,4
Sunrisers Hyderabad,Delhi,4
Sunrisers Hyderabad,Hyderabad,20
Sunrisers Hyderabad,Kanpur,1
Sunrisers Hyderabad,Mumbai,1
Sunrisers Hyderabad,Pune,1
Sunrisers Hyderabad,Raipur,1
Sunrisers Hyderabad,Rajkot,1
Sunrisers Hyderabad,Ranchi,1
Sunrisers Hyderabad,Visakhapatnam,3
