Year,Team,Played,Won,Lost,Tied,NoResult,NRR,Points,Winner
2008,RR,14,11,3,0,0,0.632,22,1
2008,KXIP,14,10,4,0,0,0.509,20,0
2008,CSK,14,8,6,0,0,-0.192,16,0
2008,DD,14,7,6,0,1,0.342,15,0
2008,MI,14,7,7,0,0,0.57,14,0
2008,KKR,14,6,7,0,1,-0.147,13,0
2008,RCB,14,4,10,0,0,-1.16,8,0
2008,DC,14,2,12,0,0,-0.467,4,1
2009,DD,14,10,4,0,0,0.311,20,0
2009,CSK,14,8,5,0,1,0.951,17,0
2009,RCB,14,8,6,0,0,-0.191,16,0
2009,DC,14,7,7,0,0,0.203,14,0
2009,KXIP,14,7,7,0,0,-0.483,14,0
2009,RR,14,6,7,0,1,-0.352,13,0
2009,MI,14,5,8,0,1,0.297,11,0
2009,KKR,14,3,10,0,1,-0.789,7,0
2010,MI,14,10,4,0,0,1.084,20,0
2010,DC,14,8,6,0,0,-0.297,16,0
2010,CSK,14,7,7,0,0,0.274,14,1
2010,RCB,14,7,7,0,0,0.219,14,0
2010,DD,14,7,7,0,0,0.021,14,0
2010,KKR,14,7,7,0,0,-0.341,14,0
2010,RR,14,6,8,0,0,-0.514,12,0
2010,KXIP,14,4,10,0,0,-0.478,8,0
2011,RCB,14,9,4,0,1,0.326,19,0
2011,CSK,14,9,5,0,0,0.443,18,1
2011,MI,14,9,5,0,0,0.04,18,0
2011,KKR,14,8,6,0,0,0.433,16,0
2011,KXIP,14,7,7,0,0,-0.051,14,0
2011,RR,14,6,7,0,1,-0.691,13,0
2011,DC,14,6,8,0,0,0.222,12,0
2011,KTK,14,6,8,0,0,-0.214,12,0
2011,PWI,14,4,9,0,1,-0.134,9,0
2011,DD,14,4,9,0,1,-0.448,9,0
2012,DD,16,11,5,0,0,0.617,22,0
2012,KKR,16,10,5,0,1,0.561,21,1
2012,MI,16,10,6,0,0,-0.1,20,0
2012,CSK,16,8,7,0,1,0.1,17,0
2012,RCB,16,8,7,0,1,-0.022,17,0
2012,KXIP,16,8,8,0,0,-0.216,16,0
2012,RR,16,7,9,0,0,0.201,14,0
2012,DC,16,4,11,0,1,-0.509,9,0
2012,PWI,16,4,12,0,0,-0.551,8,0
2013,CSK,16,11,5,0,0,0.53,22,0
2013,MI,16,11,5,0,0,0.441,22,1
2013,RR,16,10,6,0,0,0.322,20,0
2013,SRH,16,10,6,0,0,0.003,20,0
2013,RCB,16,9,7,0,0,0.457,18,0
2013,KXIP,16,8,8,0,0,0.226,16,0
2013,KKR,16,6,10,0,0,-0.095,12,0
2013,PWI,16,4,12,0,0,-1.006,8,0
2013,DD,16,3,13,0,0,-0.848,6,0
2014,KXIP,14,11,3,0,0,0.968,22,0
2014,KKR,14,9,5,0,0,0.418,18,1
2014,CSK,14,9,5,0,0,0.385,18,0
2014,MI,14,7,7,0,0,0.095,14,0
2014,RR,14,7,7,0,0,0.06,14,0
2014,SRH,14,6,8,0,0,-0.339,12,0
2014,RCB,14,5,9,0,0,-0.428,10,0
2014,DD,14,2,12,0,0,-1.182,4,0
2015,CSK,14,9,5,0,0,0.709,18,0
2015,MI,14,8,6,0,0,-0.043,16,1
2015,RCB,14,7,5,0,2,1.037,16,0
2015,RR,14,7,5,0,2,0.062,16,0
2015,KKR,14,7,6,0,1,0.253,15,0
2015,SRH,14,7,7,0,0,-0.239,14,0
2015,DD,14,5,8,0,1,-0.049,11,0
2015,KXIP,14,3,11,0,0,-1.436,6,0
2016,GL,14,9,5,0,0,-0.374,18,0
2016,RCB,14,8,6,0,0,0.932,16,0
2016,SRH,14,8,6,0,0,0.245,16,1
2016,KKR,14,8,6,0,0,0.016,16,0
2016,MI,14,7,7,0,0,-0.146,14,0
2016,DD,14,7,7,0,0,-0.155,14,0
2016,RPS,14,5,9,0,0,0.015,10,0
2016,KXIP,14,4,10,0,0,-0.646,8,0
